'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
23552,'ピラクロニル・ピリミスルファン・フェノキサスルホン剤','ヤブサメ豆つぶ250','クミアイ化学工業株式会社','ピリミスルファン','ピリミスルファン','2.0%',3,'除草剤','その他','2014/10/3'
23552,'ピラクロニル・ピリミスルファン・フェノキサスルホン剤','ヤブサメ豆つぶ250','クミアイ化学工業株式会社','フェノキサスルホン','フェノキサスルホン','6.0%',3,'除草剤','その他','2014/10/3'
23554,'シアントラニリプロール水和剤','クミアイベネビアOD','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','10.3%',1,'殺虫剤','水和剤','2014/10/3'
23557,'シアントラニリプロール水和剤','クミアイベリマークSC','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','18.7%',1,'殺虫剤','水和剤','2014/10/3'
23559,'シアントラニリプロール水和剤','日曹ベリマークSC','日本曹達株式会社','シアントラニリプロール','シアントラニリプロール','18.7%',1,'殺虫剤','水和剤','2014/10/3'
23561,'シアントラニリプロール水和剤','クミアイエクシレルSE','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','10.2%',1,'殺虫剤','水和剤','2014/10/3'
23563,'シアントラニリプロール水和剤','日産エクシレルSE','日産化学株式会社','シアントラニリプロール','シアントラニリプロール','10.2%',1,'殺虫剤','水和剤','2014/10/3'
23564,'シアントラニリプロール粒剤','パディート箱粒剤','エフエムシー・ケミカルズ株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',1,'殺虫剤','粒剤','2014/10/3'
23565,'シアントラニリプロール粒剤','クミアイパディート箱粒剤','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',1,'殺虫剤','粒剤','2014/10/3'
23570,'シアントラニリプロール・イソチアニル粒剤','スタウトパディート箱粒剤','住友化学株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',2,'殺虫殺菌剤','粒剤','2014/10/3'
23570,'シアントラニリプロール・イソチアニル粒剤','スタウトパディート箱粒剤','住友化学株式会社','イソチアニル','イソチアニル','2.0%',2,'殺虫殺菌剤','粒剤','2014/10/3'
23571,'シアントラニリプロール・イソチアニル粒剤','ルーチンデュオ箱粒剤','バイエルクロップサイエンス株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',2,'殺虫殺菌剤','粒剤','2014/10/3'
23571,'シアントラニリプロール・イソチアニル粒剤','ルーチンデュオ箱粒剤','バイエルクロップサイエンス株式会社','イソチアニル','イソチアニル','2.0%',2,'殺虫殺菌剤','粒剤','2014/10/3'
23572,'ピラゾスルフロンエチル・ベンチオカーブ・ペントキサゾン粒剤','ゲキテツ1キロ粒剤','クミアイ化学工業株式会社','ピラゾスルフロンエチル','ピラゾスルフロンエチル','0.30%',3,'除草剤','粒剤','2014/10/8'
23572,'ピラゾスルフロンエチル・ベンチオカーブ・ペントキサゾン粒剤','ゲキテツ1キロ粒剤','クミアイ化学工業株式会社','ベンチオカーブ','ベンチオカーブ','21.0%',3,'除草剤','粒剤','2014/10/8'
23572,'ピラゾスルフロンエチル・ベンチオカーブ・ペントキサゾン粒剤','ゲキテツ1キロ粒剤','クミアイ化学工業株式会社','ペントキサゾン','ペントキサゾン','4.0%',3,'除草剤','粒剤','2014/10/8'
23574,'スピノサド・フィプロニル粒剤','プリンススピノ粒剤10','BASFジャパン株式会社','スピノサド','スピノサド','0.75%',2,'殺虫剤','粒剤','2014/10/8'
23574,'スピノサド・フィプロニル粒剤','プリンススピノ粒剤10','BASFジャパン株式会社','フィプロニル','フィプロニル','1.0%',2,'殺虫剤','粒剤','2014/10/8'
23575,'ポリオキシン水和剤','ジオゼット水和剤','科研製薬株式会社','ポリオキシンD亜鉛塩','ポリオキシンD','2.25%',1,'殺菌剤','水和剤','2014/10/22'
23576,'カルブチレート・DBN・DCMU粒剤','ラーチRX粒剤','保土谷アグロテック株式会社','カルブチレート','カルブチレート','1.2%',3,'除草剤','粒剤','2014/10/22'
23576,'カルブチレート・DBN・DCMU粒剤','ラーチRX粒剤','保土谷アグロテック株式会社','DBN','DBN','3.0%',3,'除草剤','粒剤','2014/10/22'
23576,'カルブチレート・DBN・DCMU粒剤','ラーチRX粒剤','保土谷アグロテック株式会社','DCMU','DCMU','5.0%',3,'除草剤','粒剤','2014/10/22'
23577,'カルブチレート・DBN・DCMU粒剤','クサノンT粒剤','KINCHO園芸株式会社','カルブチレート','カルブチレート','1.2%',3,'除草剤','粒剤','2014/10/22'
23577,'カルブチレート・DBN・DCMU粒剤','クサノンT粒剤','KINCHO園芸株式会社','DBN','DBN','3.0%',3,'除草剤','粒剤','2014/10/22'
23577,'カルブチレート・DBN・DCMU粒剤','クサノンT粒剤','KINCHO園芸株式会社','DCMU','DCMU','5.0%',3,'除草剤','粒剤','2014/10/22'
23578,'イプフェンカルバゾン・イマゾスルフロン・ブロモブチド水和剤','ゴエモンフロアブル','住友化学株式会社','イプフェンカルバゾン','イプフェンカルバゾン','4.6%',3,'除草剤','水和剤','2014/10/22'
23578,'イプフェンカルバゾン・イマゾスルフロン・ブロモブチド水和剤','ゴエモンフロアブル','住友化学株式会社','イマゾスルフロン','イマゾスルフロン','1.7%',3,'除草剤','水和剤','2014/10/22'
23578,'イプフェンカルバゾン・イマゾスルフロン・ブロモブチド水和剤','ゴエモンフロアブル','住友化学株式会社','ブロモブチド','ブロモブチド','16.7%',3,'除草剤','水和剤','2014/10/22'
23579,'テフリルトリオン・ペノキススラム粒剤','ワイドショット1キロ粒剤','北興化学工業株式会社','テフリルトリオン','テフリルトリオン','3.0%',2,'除草剤','粒剤','2014/10/22'
23579,'テフリルトリオン・ペノキススラム粒剤','ワイドショット1キロ粒剤','北興化学工業株式会社','ペノキススラム','ペノキススラム','0.50%',2,'除草剤','粒剤','2014/10/22'
23584,'ジフルフェニカン・フルフェナセット水和剤','リベレーターフロアブル','バイエルクロップサイエンス株式会社','ジフルフェニカン','ジフルフェニカン','8.4%',2,'除草剤','水和剤','2014/11/17'
23584,'ジフルフェニカン・フルフェナセット水和剤','リベレーターフロアブル','バイエルクロップサイエンス株式会社','フルフェナセット','フルフェナセット','33.6%',2,'除草剤','水和剤','2014/11/17'
23585,'ジフルフェニカン・フルフェナセット粒剤','リベレーターG','バイエルクロップサイエンス株式会社','ジフルフェニカン','ジフルフェニカン','0.20%',2,'除草剤','粒剤','2014/11/17'
23585,'ジフルフェニカン・フルフェナセット粒剤','リベレーターG','バイエルクロップサイエンス株式会社','フルフェナセット','フルフェナセット','0.60%',2,'除草剤','粒剤','2014/11/17'
23586,'DCBN粒剤','クサピース粒剤','保土谷アグロテック株式会社','DCBN','DCBN','2.0%',1,'除草剤','粒剤','2014/11/19'
23587,'キノキサリン系水和剤','パルミノ','アグロ カネショウ株式会社','キノキサリン系','キノキサリン系','25.0%',1,'殺菌剤','水和剤','2014/11/19'
23588,'シクロスルファムロン・プレチラクロール粒剤','かねつぐ-ラジカルジャンボ','BASFジャパン株式会社','シクロスルファムロン','シクロスルファムロン','1.67%',2,'除草剤','粒剤','2014/11/19'
23588,'シクロスルファムロン・プレチラクロール粒剤','かねつぐ-ラジカルジャンボ','BASFジャパン株式会社','プレチラクロール','プレチラクロール','20.0%',2,'除草剤','粒剤','2014/11/19'
23589,'クロルメコート液剤','サイコセルPRO','BASFジャパン株式会社','クロルメコート','クロルメコート','65.8%',1,'植物成長調整剤','液剤','2014/12/3'
23590,'シフルメトフェン・トルフェンピラド水和剤','ダニハチフロアブル','OATアグリオ株式会社','シフルメトフェン','シフルメトフェン','15.0%',2,'殺虫剤','水和剤','2014/12/3'
23590,'シフルメトフェン・トルフェンピラド水和剤','ダニハチフロアブル','OATアグリオ株式会社','トルフェンピラド','トルフェンピラド','8.0%',2,'殺虫剤','水和剤','2014/12/3'
23591,'シフルメトフェン液剤','ダニレンジャーDC','OATアグリオ株式会社','シフルメトフェン','シフルメトフェン','10.0%',1,'殺虫剤','液剤','2014/12/3'
23592,'フルチアニル・TPN水和剤','フレンダーフロアブル','OATアグリオ株式会社','フルチアニル','フルチアニル','0.80%',2,'殺菌剤','水和剤','2014/12/3'
23592,'フルチアニル・TPN水和剤','フレンダーフロアブル','OATアグリオ株式会社','TPN','TPN','40.0%',2,'殺菌剤','水和剤','2014/12/3'
23593,'フルチアニル・TPN水和剤','SDSフレンダーフロアブル','株式会社エス・ディー・エス バイオテック','フルチアニル','フルチアニル','0.80%',2,'殺菌剤','水和剤','2014/12/3'
23593,'フルチアニル・TPN水和剤','SDSフレンダーフロアブル','株式会社エス・ディー・エス バイオテック','TPN','TPN','40.0%',2,'殺菌剤','水和剤','2014/12/3'
23594,'フルチアニル・メパニピリム水和剤','ショウチノスケフロアブル','OATアグリオ株式会社','フルチアニル','フルチアニル','1.8%',2,'殺菌剤','水和剤','2014/12/3'
23594,'フルチアニル・メパニピリム水和剤','ショウチノスケフロアブル','OATアグリオ株式会社','メパニピリム','メパニピリム','20.0%',2,'殺菌剤','水和剤','2014/12/3'
23595,'スピノサド・フィプロニル・プロベナゾール粒剤','ホクコーDr.オリゼプリンススピノ粒剤6','北興化学工業株式会社','スピノサド','スピノサド','0.75%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23595,'スピノサド・フィプロニル・プロベナゾール粒剤','ホクコーDr.オリゼプリンススピノ粒剤6','北興化学工業株式会社','フィプロニル','フィプロニル','0.60%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23595,'スピノサド・フィプロニル・プロベナゾール粒剤','ホクコーDr.オリゼプリンススピノ粒剤6','北興化学工業株式会社','プロベナゾール','プロベナゾール','24.0%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23596,'スピノサド・フィプロニル・プロベナゾール粒剤','Dr.オリゼプリンススピノ粒剤6','三井化学クロップ&ライフソリューション株式会社','スピノサド','スピノサド','0.75%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23596,'スピノサド・フィプロニル・プロベナゾール粒剤','Dr.オリゼプリンススピノ粒剤6','三井化学クロップ&ライフソリューション株式会社','フィプロニル','フィプロニル','0.60%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23596,'スピノサド・フィプロニル・プロベナゾール粒剤','Dr.オリゼプリンススピノ粒剤6','三井化学クロップ&ライフソリューション株式会社','プロベナゾール','プロベナゾール','24.0%',3,'殺虫殺菌剤','粒剤','2014/12/3'
23599,'ベンタゾン液剤','協友バサグラン液剤(ナトリウム塩)','協友アグリ株式会社','ベンタゾンナトリウム塩','ベンタゾン','40.0%',1,'除草剤','液剤','2014/12/17'
23601,'ミクロブタニル乳剤','チッパー乳剤','コルテバ・アグリサイエンス日本株式会社','ミクロブタニル','ミクロブタニル','25.0%',1,'殺菌剤','乳剤','2015/1/21'
23602,'クロチアニジン・メトキシフェノジド・バリダマイシン・フェリムゾン・フサライド粉剤','ハスラーRX粉剤DL','住友化学株式会社','クロチアニジン','クロチアニジン','0.50%',5,'殺虫殺菌剤','粉剤','2015/1/21'
23602,'クロチアニジン・メトキシフェノジド・バリダマイシン・フェリムゾン・フサライド粉剤','ハスラーRX粉剤DL','住友化学株式会社','メトキシフェノジド','メトキシフェノジド','0.50%',5,'殺虫殺菌剤','粉剤','2015/1/21'
23602,'クロチアニジン・メトキシフェノジド・バリダマイシン・フェリムゾン・フサライド粉剤','ハスラーRX粉剤DL','住友化学株式会社','バリダマイシン','バリダマイシン','0.30%',5,'殺虫殺菌剤','粉剤','2015/1/21'
23602,'クロチアニジン・メトキシフェノジド・バリダマイシン・フェリムゾン・フサライド粉剤','ハスラーRX粉剤DL','住友化学株式会社','フェリムゾン','フェリムゾン','2.0%',5,'殺虫殺菌剤','粉剤','2015/1/21'
23602,'クロチアニジン・メトキシフェノジド・バリダマイシン・フェリムゾン・フサライド粉剤','ハスラーRX粉剤DL','住友化学株式会社','フサライド','フサライド','1.5%',5,'殺虫殺菌剤','粉剤','2015/1/21'
23603,'クロチアニジン・バリダマイシン・フサライド粉剤','チームワーク粉剤DL','住友化学株式会社','クロチアニジン','クロチアニジン','0.50%',3,'殺虫殺菌剤','粉剤','2015/1/21'
23603,'クロチアニジン・バリダマイシン・フサライド粉剤','チームワーク粉剤DL','住友化学株式会社','バリダマイシン','バリダマイシン','0.30%',3,'殺虫殺菌剤','粉剤','2015/1/21'
23603,'クロチアニジン・バリダマイシン・フサライド粉剤','チームワーク粉剤DL','住友化学株式会社','フサライド','フサライド','2.5%',3,'殺虫殺菌剤','粉剤','2015/1/21'
23605,'ベンフラカルブ・チアジニル粒剤','OATブイゲットグランドオンコル粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','8.0%',2,'殺虫殺菌剤','粒剤','2015/1/21'
23605,'ベンフラカルブ・チアジニル粒剤','OATブイゲットグランドオンコル粒剤','OATアグリオ株式会社','チアジニル','チアジニル','12.0%',2,'殺虫殺菌剤','粒剤','2015/1/21'
23606,'ベンフラカルブ・プロベナゾール粒剤','OATオリゼメートオンコル粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','5.0%',2,'殺虫殺菌剤','粒剤','2015/1/21'
23606,'ベンフラカルブ・プロベナゾール粒剤','OATオリゼメートオンコル粒剤','OATアグリオ株式会社','プロベナゾール','プロベナゾール','3.2%',2,'殺虫殺菌剤','粒剤','2015/1/21'
23613,'イマゾスルフロン・シハロホップブチル・ジメタメトリン・プレチラクロール粒剤','OATシェリフ1キロ粒剤','OATアグリオ株式会社','イマゾスルフロン','イマゾスルフロン','0.90%',4,'除草剤','粒剤','2015/1/21'
23613,'イマゾスルフロン・シハロホップブチル・ジメタメトリン・プレチラクロール粒剤','OATシェリフ1キロ粒剤','OATアグリオ株式会社','シハロホップブチル','シハロホップブチル','1.8%',4,'除草剤','粒剤','2015/1/21'
23613,'イマゾスルフロン・シハロホップブチル・ジメタメトリン・プレチラクロール粒剤','OATシェリフ1キロ粒剤','OATアグリオ株式会社','ジメタメトリン','ジメタメトリン','0.60%',4,'除草剤','粒剤','2015/1/21'
23613,'イマゾスルフロン・シハロホップブチル・ジメタメトリン・プレチラクロール粒剤','OATシェリフ1キロ粒剤','OATアグリオ株式会社','プレチラクロール','プレチラクロール','4.5%',4,'除草剤','粒剤','2015/1/21'
23615,'フルセトスルフロン粒剤','スケダチエース1キロ粒剤','石原産業株式会社','フルセトスルフロン','フルセトスルフロン','0.33%',1,'除草剤','粒剤','2015/2/4'
23616,'フルセトスルフロン粒剤','ヒエクッパエース1キロ粒剤','石原バイオサイエンス株式会社','フルセトスルフロン','フルセトスルフロン','0.33%',1,'除草剤','粒剤','2015/2/4'
23617,'ピラクロストロビン乳剤','カブリオ乳剤','BASFジャパン株式会社','ピラクロストロビン','ピラクロストロビン','19.2%',1,'殺菌剤','乳剤','2015/2/4'
23619,'ペンシクロン粉剤','協友モンセレン粉剤DL','協友アグリ株式会社','ペンシクロン','ペンシクロン','1.5%',1,'殺菌剤','粉剤','2015/2/4'
23621,'シアントラニリプロール・イソチアニル粒剤','ツインパディート箱粒剤','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',2,'殺虫殺菌剤','粒剤','2015/2/4'
23621,'シアントラニリプロール・イソチアニル粒剤','ツインパディート箱粒剤','クミアイ化学工業株式会社','イソチアニル','イソチアニル','2.0%',2,'殺虫殺菌剤','粒剤','2015/2/4'
23622,'シアントラニリプロール・イソチアニル粒剤','ルーチンパンチ箱粒剤','クミアイ化学工業株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',2,'殺虫殺菌剤','粒剤','2015/2/4'
23622,'シアントラニリプロール・イソチアニル粒剤','ルーチンパンチ箱粒剤','クミアイ化学工業株式会社','イソチアニル','イソチアニル','2.0%',2,'殺虫殺菌剤','粒剤','2015/2/4'
23623,'アセタミプリド・シアントラニリプロール粒剤','アベイル粒剤','日本曹達株式会社','アセタミプリド','アセタミプリド','0.25%',2,'殺虫剤','粒剤','2015/2/18'
23623,'アセタミプリド・シアントラニリプロール粒剤','アベイル粒剤','日本曹達株式会社','シアントラニリプロール','シアントラニリプロール','0.50%',2,'殺虫剤','粒剤','2015/2/18'
23624,'ジノテフラン液剤','ウッドスター','サンケイ化学株式会社','ジノテフラン','ジノテフラン','8.0%',1,'殺虫剤','液剤','2015/2/18'
23626,'クロルピクリンくん蒸剤','クロピクフローMN','日本化薬株式会社','クロルピクリン','クロルピクリン','80.0%',1,'殺虫剤','くん蒸剤','2015/2/18'
23627,'イミダクロプリド・クロラントラニリプロール・イソチアニル・ペンフルフェン粒剤','エバーゴルプラス箱粒剤','クミアイ化学工業株式会社','イミダクロプリド','イミダクロプリド','2.0%',4,'殺虫殺菌剤','粒剤','2015/2/18'
23627,'イミダクロプリド・クロラントラニリプロール・イソチアニル・ペンフルフェン粒剤','エバーゴルプラス箱粒剤','クミアイ化学工業株式会社','クロラントラニリプロール','クロラントラニリプロール','0.75%',4,'殺虫殺菌剤','粒剤','2015/2/18'
23627,'イミダクロプリド・クロラントラニリプロール・イソチアニル・ペンフルフェン粒剤','エバーゴルプラス箱粒剤','クミアイ化学工業株式会社','イソチアニル','イソチアニル','2.0%',4,'殺虫殺菌剤','粒剤','2015/2/18'
23627,'イミダクロプリド・クロラントラニリプロール・イソチアニル・ペンフルフェン粒剤','エバーゴルプラス箱粒剤','クミアイ化学工業株式会社','ペンフルフェン','ペンフルフェン','2.0%',4,'殺虫殺菌剤','粒剤','2015/2/18'
23629,'ピフルブミド・フェンピロキシメート水和剤','ダブルフェースフロアブル','日本農薬株式会社','ピフルブミド','ピフルブミド','15.0%',2,'殺虫剤','水和剤','2015/2/20'
23629,'ピフルブミド・フェンピロキシメート水和剤','ダブルフェースフロアブル','日本農薬株式会社','フェンピロキシメート','フェンピロキシメート','5.0%',2,'殺虫剤','水和剤','2015/2/20'
23630,'テブフロキン水和剤','テプロスフロアブル','三井化学クロップ&ライフソリューション株式会社','テブフロキン','テブフロキン','20.0%',1,'殺菌剤','水和剤','2015/2/20'
23631,'テブフロキン水和剤','クミアイテプロスフロアブル','クミアイ化学工業株式会社','テブフロキン','テブフロキン','20.0%',1,'殺菌剤','水和剤','2015/2/20'
23632,'テブフロキン水和剤','シャフト10顆粒水和剤','三井化学クロップ&ライフソリューション株式会社','テブフロキン','テブフロキン','10.0%',1,'殺菌剤','水和剤','2015/2/20'
23633,'コッシンルア剤','ボクトウコン-H','信越化学工業株式会社','(E)-3-テトラデセニル=アセタート','コッシンルア','74.1%',1,'その他','その他','2015/3/4'
23634,'イミダクロプリド・スピノサド・イソチアニル・ペンフルフェン粒剤','ルーチンエキスパート箱粒剤','バイエルクロップサイエンス株式会社','イミダクロプリド','イミダクロプリド','2.0%',4,'殺虫殺菌剤','粒剤','2015/3/4'
23634,'イミダクロプリド・スピノサド・イソチアニル・ペンフルフェン粒剤','ルーチンエキスパート箱粒剤','バイエルクロップサイエンス株式会社','スピノサド','スピノサド','1.0%',4,'殺虫殺菌剤','粒剤','2015/3/4'
23634,'イミダクロプリド・スピノサド・イソチアニル・ペンフルフェン粒剤','ルーチンエキスパート箱粒剤','バイエルクロップサイエンス株式会社','イソチアニル','イソチアニル','2.0%',4,'殺虫殺菌剤','粒剤','2015/3/4'
23634,'イミダクロプリド・スピノサド・イソチアニル・ペンフルフェン粒剤','ルーチンエキスパート箱粒剤','バイエルクロップサイエンス株式会社','ペンフルフェン','ペンフルフェン','2.0%',4,'殺虫殺菌剤','粒剤','2015/3/4'
23636,'クロチアニジン複合肥料','マッキーノ','住友化学株式会社','クロチアニジン','クロチアニジン','0.066%',1,'農薬肥料','農薬肥料','2015/3/10'
23637,'酒石酸モランテル液剤','エースグリーン','井筒屋化学産業株式会社','酒石酸モランテル','酒石酸モランテル','20.0%',1,'殺虫剤','液剤','2015/3/18'
23638,'酒石酸モランテル液剤','パインレスキュー','ユーピーエルジャパン合同会社','酒石酸モランテル','酒石酸モランテル','20.0%',1,'殺虫剤','液剤','2015/3/18'
23640,'ブロマシル粒剤','コストカット粒剤','三笠産業株式会社','ブロマシル','ブロマシル','1.5%',1,'除草剤','粒剤','2015/3/18'
23641,'石灰硫黄合剤','OAT石灰硫黄合剤','OATアグリオ株式会社','石灰硫黄合剤','石灰硫黄合剤','27.5%',1,'殺菌剤','その他','2015/3/18'
23642,'水和硫黄剤','OATイオウフロアブル','OATアグリオ株式会社','硫黄','硫黄','52.0%',1,'殺菌剤','その他','2015/3/18'
23643,'フルシトリネート液剤','ペイオフME液剤','アグロ カネショウ株式会社','フルシトリネート','フルシトリネート','4.4%',1,'殺虫剤','液剤','2015/3/18'
23644,'ダイアジノン水和剤','協友ダイアジノン水和剤34','協友アグリ株式会社','ダイアジノン','ダイアジノン','34.0%',1,'殺虫剤','水和剤','2015/3/18'
23645,'オキソリニック酸・ストレプトマイシン水和剤','協友マテリーナ水和剤','協友アグリ株式会社','オキソリニック酸','オキソリニック酸','10.0%',2,'殺菌剤','水和剤','2015/3/18'
23645,'オキソリニック酸・ストレプトマイシン水和剤','協友マテリーナ水和剤','協友アグリ株式会社','ストレプトマイシン硫酸塩','ストレプトマイシン','12.5%',2,'殺菌剤','水和剤','2015/3/18'
23646,'ペンチオピラド・TPN水和剤','ベジセイバー','三井化学クロップ&ライフソリューション株式会社','ペンチオピラド','ペンチオピラド','6.4%',2,'殺菌剤','水和剤','2015/4/8'
23646,'ペンチオピラド・TPN水和剤','ベジセイバー','三井化学クロップ&ライフソリューション株式会社','TPN','TPN','40.0%',2,'殺菌剤','水和剤','2015/4/8'
23647,'ペンチオピラド・TPN水和剤','SDSベジセイバー','株式会社エス・ディー・エス バイオテック','ペンチオピラド','ペンチオピラド','6.4%',2,'殺菌剤','水和剤','2015/4/8'
23647,'ペンチオピラド・TPN水和剤','SDSベジセイバー','株式会社エス・ディー・エス バイオテック','TPN','TPN','40.0%',2,'殺菌剤','水和剤','2015/4/8'
23649,'イミノクタジンアルベシル酸塩・ピリオフェノン水和剤','石原ラミック顆粒水和剤','石原産業株式会社','イミノクタジンアルベシル酸塩','イミノクタジン','15.0%',2,'殺菌剤','水和剤','2015/4/8'
23649,'イミノクタジンアルベシル酸塩・ピリオフェノン水和剤','石原ラミック顆粒水和剤','石原産業株式会社','ピリオフェノン','ピリオフェノン','4.0%',2,'殺菌剤','水和剤','2015/4/8'
23650,'イミノクタジンアルベシル酸塩・ピリオフェノン水和剤','日曹ラミック顆粒水和剤','日本曹達株式会社','イミノクタジンアルベシル酸塩','イミノクタジン','15.0%',2,'殺菌剤','水和剤','2015/4/8'
23650,'イミノクタジンアルベシル酸塩・ピリオフェノン水和剤','日曹ラミック顆粒水和剤','日本曹達株式会社','ピリオフェノン','ピリオフェノン','4.0%',2,'殺菌剤','水和剤','2015/4/8'
23652,'グリホサートイソプロピルアミン塩液剤','フリーパスシャワー','ニューファム株式会社','グリホサートイソプロピルアミン塩','グリホサート','0.50%',1,'除草剤','液剤','2015/4/22'
23654,'メタアルデヒド粒剤','ナメナイト','アークサーダジャパン株式会社','メタアルデヒド','メタアルデヒド','3.0%',1,'殺虫剤','粒剤','2015/5/13'
23655,'メタアルデヒド粒剤','ナメクリーン3','サンケイ化学株式会社','メタアルデヒド','メタアルデヒド','3.0%',1,'殺虫剤','粒剤','2015/5/13'
23656,'リモニカスカブリダニ剤','リモニカ','アリスタ ライフサイエンス株式会社','リモニカスカブリダニ','リモニカスカブリダニ','125頭/10mL',1,'殺虫剤','その他','2015/5/13'
23657,'ベンジルアミノプリン液剤','プレリュード液剤','アグロ カネショウ株式会社','ベンジルアミノプリン','ベンジルアミノプリン','3.0%',1,'植物成長調整剤','液剤','2015/5/13'
23658,'セトキシジム乳剤','協友ナブ乳剤','協友アグリ株式会社','セトキシジム','セトキシジム','20.0%',1,'除草剤','乳剤','2015/5/13'
23659,'チアメトキサム・テフルトリン粒剤','アクタラフォース粒剤','シンジェンタ ジャパン株式会社','チアメトキサム','チアメトキサム','0.50%',2,'殺虫剤','粒剤','2015/5/19'
23659,'チアメトキサム・テフルトリン粒剤','アクタラフォース粒剤','シンジェンタ ジャパン株式会社','テフルトリン','テフルトリン','0.50%',2,'殺虫剤','粒剤','2015/5/19'
23660,'ラクトバチルス プランタラム水和剤','ラクトガード水和剤','三井化学クロップ&ライフソリューション株式会社','ラクトバチルス プランタラム','ラクトバチルス プランタラム','1×10^10CFU/g',1,'殺菌剤','水和剤','2015/5/27'
23661,'ベンフラカルブ・プロベナゾール粒剤','OATグランドオリゼメートオンコル粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','8.0%',2,'殺虫殺菌剤','粒剤','2015/5/27'
23661,'ベンフラカルブ・プロベナゾール粒剤','OATグランドオリゼメートオンコル粒剤','OATアグリオ株式会社','プロベナゾール','プロベナゾール','10.0%',2,'殺虫殺菌剤','粒剤','2015/5/27'
23663,'アカメガシワクダアザミウマ剤','アカメ','石原産業株式会社','アカメガシワクダアザミウマ','アカメガシワクダアザミウマ','5000頭/L',1,'殺虫剤','その他','2015/6/10'
23664,'イマゾスルフロン・エスプロカルブ・ダイムロン粒剤','OATゴーサイン粒剤','OATアグリオ株式会社','イマゾスルフロン','イマゾスルフロン','0.30%',3,'除草剤','粒剤','2015/6/10'
23664,'イマゾスルフロン・エスプロカルブ・ダイムロン粒剤','OATゴーサイン粒剤','OATアグリオ株式会社','エスプロカルブ','エスプロカルブ','7.0%',3,'除草剤','粒剤','2015/6/10'
23664,'イマゾスルフロン・エスプロカルブ・ダイムロン粒剤','OATゴーサイン粒剤','OATアグリオ株式会社','ダイムロン','ダイムロン','5.0%',3,'除草剤','粒剤','2015/6/10'
23665,'オキサミル粒剤','バイデートMK','三井化学クロップ&ライフソリューション株式会社','オキサミル','オキサミル','0.80%',1,'殺虫剤','粒剤','2015/6/10'
23666,'シアントラニリプロール・チアジニル粒剤','ブイゲットパディート粒剤','日本農薬株式会社','シアントラニリプロール','シアントラニリプロール','0.75%',2,'殺虫殺菌剤','粒剤','2015/6/24'
23666,'シアントラニリプロール・チアジニル粒剤','ブイゲットパディート粒剤','日本農薬株式会社','チアジニル','チアジニル','12.0%',2,'殺虫殺菌剤','粒剤','2015/6/24'
23667,'展着剤','K.Kステッカー','アグロ カネショウ株式会社','ポリオキシエチレン樹脂酸エステル',NULL,'70.0%',1,'その他','その他','2015/6/24'
23669,'ベンフラカルブ・プロベナゾール粒剤','OATジャッジ箱粒剤','OATアグリオ株式会社','ベンフラカルブ','ベンフラカルブ','5.0%',2,'殺虫殺菌剤','粒剤','2015/7/8'
23669,'ベンフラカルブ・プロベナゾール粒剤','OATジャッジ箱粒剤','OATアグリオ株式会社','プロベナゾール','プロベナゾール','24.0%',2,'殺虫殺菌剤','粒剤','2015/7/8'
23670,'ヘキサジノン・DCMU粒剤','ラーチG粒剤','保土谷アグロテック株式会社','ヘキサジノン','ヘキサジノン','0.70%',2,'除草剤','粒剤','2015/7/8'
23670,'ヘキサジノン・DCMU粒剤','ラーチG粒剤','保土谷アグロテック株式会社','DCMU','DCMU','2.0%',2,'除草剤','粒剤','2015/7/8'
23671,'ヘキサジノン・DCMU粒剤','草退治G粒剤','KINCHO園芸株式会社','ヘキサジノン','ヘキサジノン','0.70%',2,'除草剤','粒剤','2015/7/8'
23671,'ヘキサジノン・DCMU粒剤','草退治G粒剤','KINCHO園芸株式会社','DCMU','DCMU','2.0%',2,'除草剤','粒剤','2015/7/8'
23672,'ターバシル・ヘキサジノン・DCBN粒剤','プルトンX粒剤','保土谷アグロテック株式会社','ターバシル','ターバシル','1.0%',3,'除草剤','粒剤','2015/7/8'
