'登録番号','農薬の種類','農薬の名称','登録を有する者の名称','有効成分','総使用回数における有効成分','濃度','混合数','用途','剤型名','登録年月日'
7693,'IPC乳剤','クロロIPC「石原」','石原産業株式会社','IPC','IPC','45.8%',1,'除草剤','乳剤','1966/7/27'
7696,'石灰硫黄合剤','カネナカ印石灰硫黄合剤','株式会社さくら化興','石灰硫黄合剤','石灰硫黄合剤','27.5%',1,'殺菌剤','その他','1966/7/27'
7697,'MCPAナトリウム塩液剤','石原MCPソーダ塩','石原産業株式会社','MCPAナトリウム塩','MCPA','19.5%',1,'除草剤','液剤','1966/7/27'
7698,'2,4-PA液剤','2,4-D「石原」アミン塩','石原産業株式会社','2,4-PAジメチルアミン','2,4-PA','49.5%',1,'除草剤','液剤','1966/7/27'
8086,'有機銅水和剤','キノンドー水和剤40','アグロ カネショウ株式会社','有機銅','有機銅','40.0%',1,'殺菌剤','水和剤','1967/3/10'
8088,'ストレプトマイシン水和剤','サンケイマイシン20水和剤','サンケイ化学株式会社','ストレプトマイシン硫酸塩','ストレプトマイシン','25.0%',1,'殺菌剤','水和剤','1967/3/10'
8092,'IPC乳剤','クロロIPC「日産」','日産化学株式会社','IPC','IPC','45.8%',1,'除草剤','乳剤','1967/3/10'
8151,'ダイアジノン乳剤','カヤク・ダイアジノン乳剤40','日本化薬株式会社','ダイアジノン','ダイアジノン','40.0%',1,'殺虫剤','乳剤','1967/4/25'
8202,'BPPS水和剤','日農オマイト水和剤','日本農薬株式会社','BPPS','BPPS','30.0%',1,'殺虫剤','水和剤','1967/5/18'
8211,'カルタップ水溶剤','パダン水溶剤','住友化学株式会社','カルタップ','カルタップ','50.0%',1,'殺虫剤','水溶剤','1967/5/18'
8320,'カスガマイシン粉剤','カスミン粉剤30','北興化学工業株式会社','カスガマイシン','カスガマイシン','0.34%',1,'殺菌剤','粉剤','1967/6/12'
8365,'IPC乳剤','HCC-クロロIPC乳剤','保土谷化学工業株式会社','IPC','IPC','45.8%',1,'除草剤','乳剤','1967/7/7'
8405,'マシン油乳剤','ホクコースピンドロン乳剤','北興化学工業株式会社','マシン油','マシン油','97.0%',1,'殺虫剤','乳剤','1967/8/7'
8444,'MEP水和剤','住化スミチオン水和剤40','住友化学株式会社','MEP','MEP','40.0%',1,'殺虫剤','水和剤','1967/8/28'
8618,'PAP水和剤','日産エルサン水和剤40','日産化学株式会社','PAP','PAP','40.0%',1,'殺虫剤','水和剤','1968/2/19'
8971,'リン化亜鉛粒剤','Z・P1.00','太洋化学工業株式会社','リン化亜鉛','リン化亜鉛','1.0%',1,'殺そ剤','粒剤','1968/5/10'
9019,'ポリオキシン水和剤','ポリオキシンAL水和剤','クミアイ化学工業株式会社','ポリオキシン複合体','ポリオキシン複合体','10.0%',1,'殺菌剤','水和剤','1968/6/25'
9020,'ポリオキシン水和剤','ポリオキシンAL水和剤「科研」','科研製薬株式会社','ポリオキシン複合体','ポリオキシン複合体','10.0%',1,'殺菌剤','水和剤','1968/6/25'
9021,'ポリオキシン水和剤','日農ポリオキシンAL水和剤','日本農薬株式会社','ポリオキシン複合体','ポリオキシン複合体','10.0%',1,'殺菌剤','水和剤','1968/6/25'
9024,'塩素酸塩水溶剤','デゾレートA','株式会社カーリット','塩素酸ナトリウム','塩素酸塩','60.0%',1,'除草剤','水溶剤','1968/6/25'
9109,'ACN粒剤','モゲトン粒剤','アグロ カネショウ株式会社','ACN','ACN','9.0%',1,'除草剤','粒剤','1968/6/25'
9385,'炭酸カルシウム水和剤','クレフノン','白石カルシウム株式会社','炭酸カルシウム','炭酸カルシウム','95.0%',1,'その他','水和剤','1968/11/1'
